Item Number,Brand,Processor,GPU,Type,Maximum Resolution,Model,OS,Storage Type,Features,Price,SSD Capacity (GB),RAM Size (GB),Hard Drive Capacity (GB),Screen Size (in),Processor Speed (GHz)
85264983550,HP,Intel Core i7,NVidia Quadro 2000M,Notebook/Laptop,1920 x 1080,HP EliteBook 8560P,Windows 11 Home,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Touch Bar, Wi-Fi",135.0,256.0,8.0,256.0,15.6,2.2
85264983555,Getac,Intel Core i7 6th Gen.,Intel HD Graphics 520,Tablet,1366 x 768,F110 G3,Windows 7,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Rugged,  Stylus,  Touchscreen,  Wi-Fi",289.99,256.0,16.0,256.0,11.6,2.5
85264983556,HP,Intel Core i7 10th Gen.,NVIDIA Quadro P520,Notebook/Laptop,1920 x 1080,HP ZBook Firefly 14 G7 Mobile Workstation,Windows 11,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  IR Camera for Hello Windows Feature,  Fingerprint Reader,  Bang & Olufsen Audio,  Stereo Speakers,  Smart Card Reader,  720p Webcam,  Full HD WLED backlight Display",395.0,1024.0,32.0,1024.0,14.0,1.8
85264983563,Dell,Intel Core i7 8th Gen.,Intel UHD Graphics 520,Notebook/Laptop,1920 x 1080,Dell Latitude 5580,Windows 11 Pro,SSD,Wi-Fi,329.99,512.0,512.0,512.0,15.6,2.6
85264983566,Samsung,Qualcomm Snapdragon 7c Gen 2,Qualcomm Adreno 618,Notebook/Laptop,1920 x 1080,Samsung Galaxy Book,Windows 10,SSD,Built-in Microphone,159.0,64.0,4.0,64.0,14.0,2.55
85264983570,Dell,Intel Quad i7-6920HQ @2.90GHz,2GB Nvidia Quadro M1000M,Notebook/Laptop,1920 x 1080,Dell Precision 7510,Windows 11 Pro,SSD,Touchscreen,224.95,512.0,16.0,512.0,15.6,2.7
85264983572,Lenovo,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,2560 x 1600,82R,Windows 11,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi, Fingerprint Reader, Webcam Kill Switch",616.4,512.0,16.0,512.0,16.0,4.7
85264983575,Lenovo,Intel Core i5-5300U CPU @ 2.30 GHz,Intel HD Graphics 5500,Notebook/Laptop,1600 x 900,Lenovo ThinkPad T450,Windows 11 Pro,SSD,"Built-in Webcam, Wi-Fi",154.0,512.0,16.0,512.0,14.0,2.3
85264983576,HP,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,HP ENVY x360,Windows 10 Home,SSD,"Widescreen Display, Backlit Keyboard, Touchscreen, Convertible 2-in-1 Laptop/Tablet, Multi-Touch Trackpad, Bluetooth, Built-in Microphone, 10/100 LAN Card, Touch ID, Built-in Webcam, Wi-Fi",379.9,256.0,8.0,256.0,15.6,2.4
85264983578,Dell,i5-11500H,NVIDIA RTX A2000,Notebook/Laptop,1920 x 1200,Precision 5760 Laptop,Windows 10 Pro,SSD,"Wi-Fi,Bluetooth,Built-in Webcam,Built-in Microphone",799.99,256.0,16.0,256.0,17.0,4.6
85264983585,Lenovo,Intel Core i5 10th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad E15,Windows 11 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi",399.99,1024.0,32.0,1024.0,15.6,1.6
85264983589,HP,Intel Celeron,Intel UHD Graphics,Notebook/Laptop,1920 x 1200,Samsung ChromeBook,Chrome OS,SSD,"Built-in Microphone, Wi-Fi, Built-in Webcam, Bluetooth",139.0,128.0,4.0,128.0,14.0,1.1
85264983599,Lenovo,Intel Core i5 8th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T480s,Windows 11 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Touch ID, Wi-Fi",279.99,500.0,16.0,512.0,14.0,1.7
85264983601,Dell,Intel Celeron N2840,Intel HD Graphics,Notebook/Laptop,1366 x 768,Samsung ChromeBook,Chrome OS,SSD,"Built-in Microphone, Built-in Webcam, Rugged, Wi-Fi",49.5,16.0,4.0,16.0,11.6,2.16
85264983606,CHUWI,Intel Celeron N4100,"Intel® UHD Graphics 600, 250-750MHz",Notebook/Laptop,1920 x 1080,CHUWI LapBook Pro,Windows 10 Home,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam",159.99,256.0,8.0,256.0,14.1,2.7
85264983609,Lenovo,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T490S,Windows 11 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi",199.0,256.0,16.0,256.0,14.0,1.6
85264983612,Microsoft,Intel Pentium Gold,Intel UHD Graphics 615,Notebook/Laptop,1920 x 1280,Microsoft Surface Go 3,Windows 10 Pro,SSD,"Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Built-in Microphone",229.99,64.0,4.0,64.0,10.5,1.1
85264983615,Lenovo,Intel Core i5 3rd Gen.,Intel HD Graphics 4000,Notebook/Laptop,1366 x 768,Lenovo Thinkpad Edge,Windows 10 Pro,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",48.0,500.0,8.0,512.0,14.0,2.6
85264983620,HP,Intel Celeron N,Intel HD Graphics,Notebook/Laptop,1366 x 768,HP ProBook x360 11 G1 EE,Windows 10 Home,SSD,"Anti-glare HD LED Display, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Hyper-Threading Technology, Intel Turbo Boost Technology, Multi-Touch Trackpad, Touchscreen, Wi-Fi",149.99,128.0,4.0,128.0,11.6,1.1
85264983624,Dell,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,2560 x 1600,Dell Inspiron 16 Plus 7630,Windows 11 Home,SSD,"Touchscreen, Bluetooth, Backlit Keyboard",699.99,1024.0,32.0,1024.0,16.0,3.7
85264983626,Lenovo,Intel Core i7 12th Gen.,NVIDIA GeForce RTX 3050,Notebook/Laptop,2560 x 1600,16IAH7,Windows 11 Home,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",899.99,512.0,16.0,512.0,16.0,4.7
85264983627,Acer,MediaTek MT8173C,‎PowerVR GX6250,Notebook/Laptop,1920 x 1080,Acer Chromebook R 13,Chrome OS,eMMC,"Touchscreen, Bluetooth, Built-in Webcam",52.99,32.0,4.0,32.0,13.3,2.1
85264983636,Lenovo,Intel Celeron N,Intel HD Graphics,Notebook/Laptop,1366 x 768,Lenovo Thinkpad Yoga 11e,Windows 10 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",99.99,128.0,4.0,128.0,11.6,1.6
85264983637,Acer,Intel Core i5 12th Gen.,NVIDIA GeForce RTX 3050,Notebook/Laptop,1920 x 1080,Acer Nitro 5,Windows 11 Home,SSD,"10/100 LAN Card, Built-in Webcam, Bluetooth, Wi-Fi, Built-in Microphone, Widescreen Display",649.95,512.0,8.0,512.0,17.3,4.0
85264983658,Lenovo,Intel Celeron N3050,Intel HD Graphics,Notebook,1366 x 768,Lenovo N22,Chrome OS,eMMC,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi",208.99,16.0,4.0,16.0,11.6,1.6
85264983659,Dell,Intel Pentium M,ATI Mobility Radeon X600,Notebook/Laptop,1680 x 1050,Dell Latitude D810,Windows XP,HDD,"10/100 LAN Card,  5G,  Built-in Microphone,  Multi-Touch Trackpad,  Optical Drive,  Rugged,  Widescreen Display,  Wi-Fi,  Serial D-SUB",124.9,120.0,2.0,128.0,15.4,1.73
85264983663,Lenovo,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1200,Lenovo Yoga 7i,Windows 11 Home,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, IPS Panel, Multi-Touch Trackpad, Convertible 2-in-1 Laptop/Tablet, Backlit Keyboard, Built-in Microphone, Stylus",699.99,512.0,16.0,512.0,16.0,1.3
85264983666,Microsoft,Intel Core i5 10th Gen.,Intel HD Graphics,Notebook/Laptop,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen",259.84,256.0,8.0,256.0,13.5,1.5
85264983671,Lenovo,Intel Core i7 8th Gen.,Intel UHD Graphics for 8th Generation Processors,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad X1 Yoga (4th Gen),Windows 11 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Stylus, Touchscreen, Wi-Fi",334.99,512.0,16.0,512.0,14.0,1.9
85264983674,XPLORE,Intel Core i7,Intel HD Graphics,Tablet,1366x768,GoBi3000,Windows 7 Professional,SSD,"10/100 LAN Card,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  HSDPA,  Rugged,  Touchscreen",170.55,120.0,4.0,128.0,10.4,1.07
85264983675,Samsung,Qualcomm Snapdragon 7c Gen 2,Qualcomm Adreno 618,Notebook/Laptop,1920 x 1080,Samsung Galaxy Book,Windows 10,SSD,Built-in Microphone,159.0,64.0,4.0,64.0,14.0,2.55
85264983676,HP,Intel Core i7,NVidia Quadro 2000M,Notebook/Laptop,1920 x 1080,HP EliteBook 8560P,Windows 11 Home,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Touch Bar,  Wi-Fi",135.0,256.0,8.0,256.0,15.6,2.2
85264983685,HP,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,hp elitebook 840 g8 11th,Windows 10 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",350.0,256.0,16.0,256.0,14.0,2.6
85264983688,Lenovo,Intel Core i5 6th Gen.,Intel HD Graphics 530,Notebook,1920 x 1080,Lenovo ThinkPad T460,Windows 11 Pro,SSD,"Backlit Keyboard, Bluetooth, 3D Camera, Wi-Fi, Touch ID",149.0,256.0,16.0,256.0,15.0,2.4
85264983689,HP,Intel Celeron N,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,HP Chromebook 11 G7 EE,Chrome OS,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Widescreen Display, Wi-Fi, Integrated Stereo Speakers, Spill-Resistant Keyboard",39.0,16.0,4.0,16.0,11.6,1.1
85264983691,CHUWI,Intel Celeron N4020,"Intel UHD Graphics 600, 650MHz",Notebook/Laptop,1920 x 1080,CHUWI Herobook Pro,Windows 11 Home,SSD,Wi-Fi,192.99,256.0,8.0,256.0,14.1,2.8
85264983693,HP,Intel Core i7 8th Gen.,Nvidia Quadro P1000,Notebook/Laptop,1920 x 1080,HP Zbook 17 G5,Windows 10 Pro,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Widescreen Display,  Wi-Fi",645.0,1024.0,64.0,64.0,17.3,2.6
85264983694,Dell,Intel Core i5,Intel HD Graphics,Notebook/Laptop,1920 x 1080,5580,Linux,SSD,Wi-Fi,439.99,500.0,16.0,512.0,15.6,2.5
85264983698,Lenovo,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,2560 x 1600,82R,Windows 11,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen,  Wi-Fi,  Fingerprint Reader,  Webcam Kill Switch",616.4,512.0,16.0,512.0,16.0,4.7
85264983699,Lenovo,Intel Core i3 11th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Lenovo IdeaPad 3,Windows 11 Home,SSD,"5G, Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",259.0,128.0,4.0,128.0,14.0,3.0
85264983703,Lenovo,11 Gen intel Core i3,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,LENOVO L14 11Gen,Windows 11 Pro,SSD,Touchscreen,249.0,128.0,8.0,128.0,14.0,3.0
85264983707,Dell,Intel Core i7 7th Gen.,Intel HD Graphics,Notebook/Laptop,1920 x 1080,Dell Latitude 15 5580,Windows 10 Pro,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",329.0,512.0,16.0,512.0,15.6,2.9
85264983713,Dell,Intel Core i7 8th Gen.,Intel UHD Graphics 520,Notebook/Laptop,1920 x 1080,Dell Latitude 5580,Windows 11 Pro,SSD,Wi-Fi,329.99,512.0,512.0,512.0,15.6,2.6
85264983718,HP,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,HP Elitebook 840 G6,Windows 11 Pro,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",494.99,1024.0,32.0,1024.0,14.0,4.2
85264983725,Lenovo,Intel Celeron,Intel UHD Graphics 600,Chromebook,1366 x 768,Lenovo Chromebook 82C1,Chrome OS,eMMC,"Bluetooth, Wi-Fi",128.99,64.0,4.0,64.0,14.0,1.1
85264983750,HP,Intel Pentium N4200,Intel HD Graphics 505,Notebook/Laptop,1366 x 768,HP ProBook,Windows 10 Pro,SSD,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, touc",129.99,128.0,4.0,128.0,11.6,1.1
85264983755,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,Dell Latitude 7420,Windows 10 Pro,SSD,"Built-in Microphone,  Built-in Webcam",599.0,256.0,16.0,16.0,14.0,3.0
85264983756,Lenovo,Intel Celeron N,Intel HD Graphics,Subnotebook/Ultraportable,1366 x 768,Lenovo 300e Winbook,Windows 10,eMMC,Touchscreen,79.99,64.0,4.0,64.0,11.6,1.1
85264983758,Samsung,Intel Core i5 10th Gen.,Intel UHD Graphics,Notebook/Laptop,3840 x 2160,Samsung Galaxy Chromebook 4k,Chrome OS,SSD,"Bluetooth, Stylus, Touchscreen, Wi-Fi",349.99,256.0,8.0,256.0,13.3,1.6
85264983761,ASUS,Intel Core i3 11th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,ASUS VivoBook,Windows 11 Home,SSD,"Wi-Fi, Bluetooth, Built-in Webcam, Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard",292.95,256.0,8.0,256.0,15.6,1.8
85264983777,Dell,Intel Core i5 6th Gen.,Intel® HD Graphics 520,Notebook/Laptop,1366 x 768,Dell Latitude 7480,Windows 10 Pro,SSD,"Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Bluetooth 4.2,  802.11ac Wi-Fi",199.99,512.0,16.0,512.0,14.0,2.4
85264983780,Microsoft,Microsoft SQ2,Qualcomm Adreno 690,Notebook/Laptop,2880 x 1920,Microsoft Surface Pro X,Windows 11 Home,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  Touchscreen,  Wi-Fi",519.99,256.0,16.0,256.0,13.0,1.8
85264983781,HP,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,HP ENVY x360,Windows 10 Home,SSD,"Widescreen Display, Backlit Keyboard, Touchscreen, Convertible 2-in-1 Laptop/Tablet, Multi-Touch Trackpad, Bluetooth, Built-in Microphone, 10/100 LAN Card, Touch ID, Built-in Webcam, Wi-Fi",379.9,256.0,8.0,256.0,15.6,2.4
85264983786,Lenovo,AMD Ryzen 5,AMD Radeon Vega 8,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad A485,Windows 11 Pro,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",239.0,512.0,32.0,512.0,14.0,2.0
85264983795,Microsoft,Microsoft SQ2,Qualcomm Adreno 690,Notebook/Laptop,2880 x 1920,Microsoft Surface Pro X,Windows 11 Home,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  Touchscreen,  Wi-Fi",509.99,256.0,16.0,256.0,13.0,1.8
85264983796,Lenovo,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,3000 x 2000,Lenovo ThinkPad X1 Tablet Gen 3,Windows 11 Pro,SSD,LTE,419.99,256.0,16.0,256.0,13.0,1.8
85264983798,Dell,Intel Celeron,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,Dell Latitude 3189,Windows 10,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen",139.99,128.0,4.0,128.0,11.6,1.1
85264983802,Acer,Intel Core i5 11th Gen.,NVIDIA GeForce RTX 3050Ti,Notebook/Laptop,1920 x 1080,Acer Nitro 5,Windows 11 Home,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",629.0,512.0,16.0,512.0,15.6,2.7
85264983805,Lenovo,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,2256 x 1504,Lenovo ThinkPad X1 Yoga,Windows 10 Pro,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Backlit Keyboard",549.99,256.0,16.0,256.0,13.5,1.8
85264983806,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,Dell Latitude 7420,Windows 11 Pro,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",349.99,256.0,16.0,256.0,14.0,3.0
85264983812,Dell,Intel Core i7 13th Gen.,"NVIDIA RTX A1000,  6 GB GDDR6",Notebook/Laptop,1920 x 1200,Precision 7680,Windows 11 Pro,SSD,Wi-Fi,1799.99,512.0,32.0,32.0,15.6,3.8
85264983817,HP,Intel Celeron,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,HP Chromebook x360,Chrome OS,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Convertible 2-in-1 Laptop/Tablet, Built-in Microphone",180.0,64.0,4.0,64.0,14.0,1.1
85264983825,Microsoft,Intel Pentium Gold,Intel UHD Graphics 615,Notebook/Laptop,1920 x 1280,Microsoft Surface Go 3,Windows 10 Pro,SSD,"Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Built-in Microphone",119.95,64.0,4.0,64.0,10.5,1.1
85264983829,HP,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,15-dy2795wm,‎Windows 11 Home,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam",360.0,256.0,8.0,256.0,15.6,2.4
85264983835,Lenovo,Intel Core i5 6th Gen.,Intel HD Graphics 530,Notebook,1920 x 1080,Lenovo ThinkPad T460,Windows 11 Pro,SSD,"Backlit Keyboard,  Bluetooth,  3D Camera,  Wi-Fi,  Touch ID",149.0,256.0,16.0,256.0,15.0,2.4
85264983841,HP,Intel Celeron N,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,HP Chromebook 11 G7 EE,Chrome OS,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi,  Integrated Stereo Speakers,  Spill-Resistant Keyboard",39.0,16.0,4.0,16.0,11.6,1.1
85264983842,Acer,Intel Core i5 11th Gen.,NVIDIA GeForce RTX 3050Ti,Notebook/Laptop,1920 x 1080,Acer Nitro 5,Windows 11 Home,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",629.0,512.0,16.0,512.0,15.6,2.7
85264983846,CHUWI,Intel Celeron N4020,"Intel UHD Graphics 600, 650MHz",Notebook/Laptop,1920 x 1080,CHUWI Herobook Pro,Windows 11 Home,SSD,Wi-Fi,192.99,256.0,8.0,256.0,14.1,2.8
85264983850,Gateway,Intel Pentium,Intel UHD Graphics,Notebook/Laptop,1366 x 768,Samsung ChromeBook,Chrome OS,eMMC,"Touchscreen, Built-in Webcam, Bluetooth, Built-in Microphone",139.99,128.0,4.0,128.0,15.6,1.1
85264983853,Dell,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,Dell Latitude 5440,Windows 11 Pro,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",825.0,512.0,16.0,512.0,14.0,3.9
85264983855,Lenovo,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,2256 x 1504,Lenovo ThinkPad X1 Yoga,Windows 10 Pro,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Backlit Keyboard",549.99,256.0,16.0,256.0,13.5,1.8
85264983856,Microsoft,Intel Core i5 10th Gen.,Intel HD Graphics,Notebook/Laptop,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",259.84,256.0,8.0,256.0,13.5,1.5
85264983862,Lenovo,11 Gen intel Core i3,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,LENOVO L14 11Gen,Windows 11 Pro,SSD,Touchscreen,249.0,128.0,8.0,128.0,14.0,3.0
85264983863,Lenovo,AMD Ryzen 7 Pro 3700U,Radeon Vega Mobile Gfx,Notebook/Laptop,1920 x 1080,ThinkPad,Windows 11 Pro,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",299.0,512.0,16.0,16.0,14.0,2.3
85264983864,Dell,Intel Core i5 6th Gen.,Intel HD Graphics,Notebook/Laptop,0,Dell Latitude Rugged 5414,Windows 10 Pro,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Optical Drive,  Rugged,  Wi-Fi",297.0,512.0,8.0,512.0,14.0,2.4
85264983866,Lenovo,Intel Core i7 3rd Gen.,NVIDIA Quadro K1000M,Notebook/Laptop,0,Lenovo ThinkPad W530,Windows 10 Pro,SSD,"Built-in Microphone,  Built-in Webcam,  Optical Drive,  Wi-Fi",282.0,512.0,16.0,512.0,15.6,2.6
85264983872,Dell,Intel Core i5 vPro 8th Gen,Intel UHD Graphics 620,Notebook/Laptop,1366 x 768,Dell Latitude 7490,Windows 10 Pro,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Force Touch Trackpad,  Multi-Touch Trackpad,  Touch ID,  Widescreen Display,  Wi-Fi",245.0,1024.0,32.0,1024.0,14.0,1.7
85264983876,Dell,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,Dell Inspiron 15 3520,Windows 11 Home,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard",479.0,512.0,16.0,512.0,15.6,2.0
85264983881,HP,Intel Core i7 6th Gen.,Intel HD Graphics,Notebook/Laptop,1920 x 1080,Elitebook 840 G3,Windows 11 Pro,SSD,"3D Camera,  Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",199.0,256.0,8.0,256.0,14.0,2.6
85264983898,HP,Intel Celeron N,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,14DQ0052DX,Windows 11 Home,eMMC,Built-in Microphone,88.0,64.0,4.0,64.0,14.0,1.1
85264983910,HP,Intel Celeron N3350,Intel HD Graphics 500,Chromebook,1366 x 768,Chromebook 11 G6 EE (3NU57UT#ABA),Chrome OS,eMMC,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",49.99,16.0,4.0,16.0,11.6,1.1
85264983911,Lenovo,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1200,Lenovo ThinkPad X1 Yoga,Windows 10 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Stylus, Touchscreen, Wi-Fi",599.99,512.0,16.0,512.0,14.0,3.0
85264983913,Lenovo,Intel Core i5 4th Gen.,Intel HD Graphics,Notebook/Laptop,1366 x 768,Libreboot T440p,Linux,SSD,"Built-in Microphone,  Built-in Webcam,  Optical Drive,  Wi-Fi",180.0,500.0,8.0,512.0,14.0,2.6
85264983918,HP,Intel Core i5 7th Gen.,Intel HD Graphics,Notebook/Laptop,1920 x 1080,HP Elitebook 840,Windows 10 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Wi-Fi",199.88,512.0,16.0,512.0,14.0,2.6
85264983920,MSI,Intel Core i5 11th Gen.,NVIDIA GeForce RTX 3050,Notebook/Laptop,1920 x 1080,MSI GF63 Thin,Windows 11 Home,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",550.0,512.0,16.0,512.0,15.6,2.7
85264983929,Lenovo,Intel Core i7,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad E14,Not Included,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam",844.0,256.0,16.0,256.0,14.0,3.5
85264983930,Dell,Intel Core i7 8th Gen.,Intel HD Graphics 620,Notebook/Laptop,1366 x 768,Dell Latitude 7290,Windows 11 Pro,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",170.0,256.0,8.0,256.0,12.5,1.9
85264983948,Acer,Intel Celeron N,Intel HD Graphics,Notebook/Laptop,1366 x 768,Acer Chromebook Spin 511,Chrome OS,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen,  Wi-Fi",55.0,32.0,4.0,32.0,11.6,1.1
85264983952,Dell,Intel Celeron N,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,Dell Chromebook 11 3100,Chrome OS,eMMC,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Built-in Microphone",74.99,32.0,4.0,32.0,11.6,1.1
85264983958,Lenovo,Intel Celeron N2940 1.83GHz Quad,Intel HD Graphics,Notebook/Laptop,1366 x 768,ThinkPad 11e Chromebook,Chrome OS,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Rugged, Wi-Fi",49.99,16.0,4.0,16.0,11.6,1.83
85264983966,Lenovo,Intel Core i3,Intel HD Graphics 4000,Notebook/Laptop,1366 x 768,Lenovo ThinkPad T420,Windows 10,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Widescreen Display, Wi-Fi",180.0,512.0,12.0,8.0,14.1,3.6
